Date, Time, Exam Room,
Tuesday - Dec 15, 08:15 - 09:15, 2/1,
Tuesday - Dec 15, 08:15 - 09:15, 2/2,
Tuesday - Dec 15, 08:15 - 09:15, 3/1,
Tuesday - Dec 15, 08:15 - 09:15, 3/2,
Tuesday - Dec 15, 08:15 - 09:15, 4/1,
Tuesday - Dec 15, 08:15 - 09:15, 4/2,
Tuesday - Dec 15, 08:15 - 09:15, 5/1,
Tuesday - Dec 15, 08:15 - 09:15, 5/2,
Tuesday - Dec 15, 09:30 - 10:30, 2/1,
Tuesday - Dec 15, 09:30 - 10:30, 2/2,
Tuesday - Dec 15, 09:30 - 10:30, 3/1,
Tuesday - Dec 15, 09:30 - 10:30, 3/2,
Tuesday - Dec 15, 09:30 - 10:30, 4/1,
Tuesday - Dec 15, 09:30 - 10:30, 4/2,
Tuesday - Dec 15, 09:30 - 10:30, 5/1,
Tuesday - Dec 15, 09:30 - 10:30, 5/2,
Tuesday - Dec 15, 10:45 - 11:45, 2/1,
Tuesday - Dec 15, 10:45 - 11:45, 2/2,
Tuesday - Dec 15, 10:45 - 11:45, 3/1,
Tuesday - Dec 15, 10:45 - 11:45, 3/2,
Tuesday - Dec 15, 10:45 - 11:45, 4/1,
Tuesday - Dec 15, 10:45 - 11:45, 4/2,
Tuesday - Dec 15, 10:45 - 11:45, 5/1,
Tuesday - Dec 15, 10:45 - 11:45, 5/2,
Tuesday - Dec 15, 13:00 - 14:00, 3/2,
Tuesday - Dec 15, 13:00 - 14:00, 4/1,
Tuesday - Dec 15, 13:00 - 14:00, 5/1,
Tuesday - Dec 15, 13:00 - 14:00, 5/2,
Wednesday - Dec 16, 08:15 - 09:15, 2/1,
Wednesday - Dec 16, 08:15 - 09:15, 2/2,
Wednesday - Dec 16, 08:15 - 09:15, 3/1,
Wednesday - Dec 16, 08:15 - 09:15, 4/1,
Wednesday - Dec 16, 08:15 - 09:15, 4/2,
Wednesday - Dec 16, 08:15 - 09:15, 5/1,
Wednesday - Dec 16, 08:15 - 09:15, 5/2,
Wednesday - Dec 16, 09:30 - 10:30, 2/1,
Wednesday - Dec 16, 09:30 - 10:30, 2/2,
Wednesday - Dec 16, 09:30 - 10:30, 3/1,
Wednesday - Dec 16, 09:30 - 10:30, 4/1,
Wednesday - Dec 16, 09:30 - 10:30, 4/2,
Wednesday - Dec 16, 09:30 - 10:30, 5/1,
Wednesday - Dec 16, 09:30 - 10:30, 5/2,
Wednesday - Dec 16, 10:45 - 11:45, 2/1,
Wednesday - Dec 16, 10:45 - 11:45, 2/2,
Wednesday - Dec 16, 10:45 - 11:45, 3/1,
Wednesday - Dec 16, 10:45 - 11:45, 4/1,
Wednesday - Dec 16, 10:45 - 11:45, 4/2,
Wednesday - Dec 16, 10:45 - 11:45, 5/1,
Wednesday - Dec 16, 10:45 - 11:45, 5/2,
Thursday- Dec 17, 08:15 - 09:15, 2/1,
Thursday- Dec 17, 08:15 - 09:15, 2/2,
Thursday- Dec 17, 08:15 - 09:15, 3/1,
Thursday- Dec 17, 08:15 - 09:15, 3/2,
Thursday- Dec 17, 08:15 - 09:15, 4/1,
Thursday- Dec 17, 08:15 - 09:15, 4/2,
Thursday- Dec 17, 08:15 - 09:15, 5/1,
Thursday- Dec 17, 08:15 - 09:15, 5/2,
Thursday- Dec 17, 09:30 - 10:30, 2/1,
Thursday- Dec 17, 09:30 - 10:30, 2/2,
Thursday- Dec 17, 09:30 - 10:30, 3/1,
Thursday- Dec 17, 09:30 - 10:30, 3/2,
Thursday- Dec 17, 09:30 - 10:30, 4/1,
Thursday- Dec 17, 09:30 - 10:30, 4/2,
Thursday- Dec 17, 09:30 - 10:30, 5/1,
Thursday- Dec 17, 09:30 - 10:30, 5/2,
Thursday- Dec 17, 10:45 - 11:45, 2/1,
Thursday- Dec 17, 10:45 - 11:45, 2/2,
Thursday- Dec 17, 10:45 - 11:45, 3/1,
Thursday- Dec 17, 10:45 - 11:45, 3/2,
Thursday- Dec 17, 10:45 - 11:45, 4/1,
Thursday- Dec 17, 10:45 - 11:45, 4/2,
Thursday- Dec 17, 10:45 - 11:45, 5/1,
Thursday- Dec 17, 10:45 - 11:45, 5/2,
